alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1716619710.7515,elite,4527.4356365204,1716571593.5925,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1716595641,1716619710.7515,27159,socks4,socks4://72.10.164.178:27159,true,1598.9329814911,5,461,1.0729613733906,72.10.164.178
true,1715684723.6696,elite,259.47696254596,1715353721.9948,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"Firstbyte Hosting",false,Moscow,success,Europe/Moscow,102483,1716563337,1716619710.7436,4444,http,http://45.9.75.130:4444,false,240.1807308197,27321,5,99.981702407963,45.9.75.130
true,1716618762.9777,elite,521.61117621925,1716432033.532,"AS20115 Charter Communications",CHARTER-20115,"St Louis","North America",NA,"United States",US,,false,Spectrum,38.6375,-90.3778,false,"Ladue Sd-horton Watkins HS",true,Missouri,success,America/Chicago,63124,1716432034,1716619710.7412,8080,http,http://71.86.129.153:8080,false,970.11232376099,3634,330,91.67507568113,71.86.129.153
true,1716619607.0074,elite,3816.7729956432,1716225452.7031,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1716288834,1716619710.7374,26903,http,http://67.43.227.228:26903,false,1433.340549469,104,4814,2.1146807645384,67.43.227.228
true,1716619710.6485,transparent,4231.6228250526,1710562654.9429,"AS7713 PT Telekomunikasi Indonesia",telkomnet-as-ap,"Jakarta Pusat",Asia,AS,Indonesia,ID,,false,"PT. Telekomunikasi Indonesia",-6.18104,106.826,false,"Telekomunikasi Indonesia",true,Jakarta,success,Asia/Jakarta,,1716148536,1716619710.6485,3128,http,http://36.95.102.111:3128,false,3632.8153610229,17527,75300,18.881359949153,36.95.102.111
true,1716618325.6071,elite,1469.0873980262,1710633910.8217,"AS56040 China Mobile communications corporation",CMNET-GuangDong-AP,Shenzhen,Asia,AS,China,CN,,false,"China Mobile Communications Corporation",22.5431,114.058,true,"China Mobile Communications Corporation",true,Guangdong,success,Asia/Shanghai,518000,1716156509,1716619710.524,8443,http,http://183.234.215.11:8443,false,4179.6729564667,73385,19265,79.206691851052,183.234.215.11
true,1716619710.3661,transparent,7040.2866825878,1710575123.0915,"AS13999 Mega Cable, S.A. de C.V.","Mega Cable, S.A. de C.V.",Cuetzalan,"North America",NA,Mexico,MX,,false,"Mega Cable, S.A. de C.V.",20.0176,-97.5256,false,"Mega Cable, S.A. de C.V",true,Puebla,success,America/Mexico_City,73560,1716154205,1716619710.3661,8080,http,http://177.229.210.66:8080,false,10184.205055237,7872,83650,8.6012106378794,177.229.210.66
true,1716616509.9529,elite,4152.5337462342,1710540131.6874,"AS9808 China Mobile Communications Group Co., Ltd.",CHINAMOBILE-CN,Shenzhen,Asia,AS,China,CN,,false,"China Mobile",22.5431,114.058,true,"China Mobile Communications Corporation",true,Guangdong,success,Asia/Shanghai,518000,1716147336,1716619710.2979,9091,http,http://112.51.96.118:9091,false,1052.5569915771,57952,34733,62.525759292226,112.51.96.118
true,1716619710.2312,elite,6247.918120113,1711321918.3334,"AS51167 Contabo GmbH",CONTABO,Düsseldorf,Europe,EU,Germany,DE,,true,"Contabo GmbH",51.1878,6.8607,false,Contabo,true,"North Rhine-Westphalia",success,Europe/Berlin,40599,1716071165,1716619710.2312,10670,socks4,socks4://194.163.159.94:10670,true,5815.6135082245,2208,27329,7.4753698750719,194.163.159.94
true,1716619547.5732,elite,3402.3414134979,1710815753.5561,"AS9808 China Mobile Communications Group Co., Ltd.",CHINAMOBILE-CN,Kunming,Asia,AS,China,CN,,false,"China Mobile",25.0088,102.6513,true,"China Mobile",true,Yunnan,success,Asia/Shanghai,,1716268190,1716619710.1994,8060,http,http://39.129.25.66:8060,false,2606.1568260193,12761,76415,14.309904010048,39.129.25.66
true,1716411584.1203,elite,262.91267316917,1714931710.4363,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"Firstbyte Hosting",true,Moscow,success,Europe/Moscow,102483,1716141426,1716619709.9464,4444,http,http://45.9.75.216:4444,false,241.18065834045,35756,33,99.907792897259,45.9.75.216
true,1716619709.9456,elite,5189.3336067666,1710544499.3918,"AS58424 # 3BEo, Sangkat Beoun Prolit, Khan 7Makara, Phnom Penh.",XINWEITELECOM-KH,"Phnom Penh",Asia,AS,Cambodia,KH,,false,XINWEITELECOM,11.5583,104.9121,false,"Xinwei(Cambodia)Telecom Co",true,"Phnom Penh",success,Asia/Phnom_Penh,,1716616674,1716619709.9456,8084,http,http://43.255.113.232:8084,false,15455.169200897,3770,5348,41.346786576004,43.255.113.232
